번호,직업,사회적 평판/명예,경제적 보상/보수,워라밸,안정성,학문적 흥미,공익성,대인관계/협업,직업 변경 용이성,에너지 소모 정도,리듬 예측 가능성,자율성/근무형태
1,엔지니어,4,4,2,2,5,3,3,2,1,3,4
2,운전기사,2,1,1,1,1,3,4,1,4,5,2
3,정비사,2,1,1,2,3,3,2,1,5,3,2
4,과학자,4,3,3,4,5,3,3,4,2,3,3
5,연구원,5,4,3,5,5,3,3,4,2,3,2
6,분석가,4,4,3,5,4,2,2,3,1,4,3
7,화가,3,2,4,2,5,1,1,1,2,1,5
8,음악가,3,3,3,2,5,1,4,1,3,1,4
9,작가,3,2,4,2,4,1,2,1,1,1,5
10,교사,4,3,4,5,5,5,4,1,3,4,5
11,사회복지사,5,2,1,4,5,5,5,1,5,1,1
12,상담사,4,4,3,4,4,3,5,2,2,1,3
13,CEO,5,5,1,1,4,4,5,5,3,1,4
14,정치인,4,5,2,2,2,4,5,3,3,2,1
15,영업관리자,3,4,3,4,4,2,5,4,2,3,4
16,회계사,5,5,3,5,4,2,2,3,2,4,2
17,사서,4,2,4,5,3,3,4,1,1,5,2
18,행정원,3,3,1,5,2,4,5,4,2,2,1
19,회사원,2,3,3,3,3,2,5,4,3,4,3
20,의사,4,5,1,5,5,5,4,3,4,2,2
21,경찰관,4,3,3,4,3,5,4,3,5,3,2
22,요리사,3,3,3,3,2,2,3,2,5,3,1
23,항공조종사,4,5,3,4,2,4,4,2,4,3,2
24,법조인,5,4,3,4,5,4,3,3,2,4,4
