1,사회적으로 높은 인정이나 명예를 얻는 것을 중요하게 생각하는 정도 (사회적 평판/명예)
2,"경제적 보상(월급, 연봉 등)을 중요하게 생각하는 정도 (보상성/수익성)"
3,일과 개인 삶의 균형을 유지하고 여가 시간을 확보하는 것을 중요하게 생각하는 정도 (워라밸)
4,오랫동안 안정적으로 일하는 것을 중요하게 생각하는 정도 (안정성)
5,새로운 지식을 탐구하고 학문적이거나 전문적인 호기심을 충족하는 것을 중요하게 생각하는 정도 (전문성/탐구성)
6,타인이나 사회 전반에 긍정적인 영향을 미치고 공공의 이익에 기여하는 것을 중요하게 생각하는 정도 (공익성)
7,사람들과 지속적으로 소통하고 팀을 이루어 함께 협력하는 것을 중요하게 생각하는 정도 (대인관계/협업성)
8,다른 직업으로 이직·전환하기 쉬운 것을 중요하게 생각하는 정도 (직업 변경 용이성)
9,업무에 에너지를 아낌없이 쏟아붓고 열정적으로 몰입하는 것을 즐기는 정도 (에너지 투입성)
10,야근이나 변수 없이 정해진 일정과 규칙적인 업무 흐름을 유지하는 것을 중요하게 생각하는 정도 (리듬 예측 가능성)
11,"근무 시간이나 장소, 업무 방식을 스스로 결정하고 주도적으로 일하는 것을 중요하게 생각하는 정도 (자율성)"
